Date,Close,Next_Close,Delta_Percent,Actual_Label,Predicted_Label,Correct
2025-04-10,189.4191437,197.1085205,4.059450723828814,UP,UP,True
2025-04-11,197.1085205,201.4555511,2.2053996392307207,UP,UP,True
2025-04-15,201.0775452,193.2489014,-3.893345620573057,DOWN,DOWN,True
2025-04-21,192.1447601,198.6901703,3.4064994520763885,UP,UP,True
2025-04-22,198.6901703,203.5246429,2.4331715014892197,UP,UP,True
2025-05-01,212.1987915,204.2706757,-3.7361738697743716,DOWN,DOWN,True
2025-05-02,204.2706757,197.844635,-3.145845911548031,DOWN,DOWN,True
2025-05-09,197.4865417,209.9570465,6.314609943873449,UP,UP,True
2025-05-20,206.0425873,201.2914276,-2.3059114925024127,DOWN,DOWN,True
2025-05-22,200.5643158,194.4983826,-3.024432923575924,DOWN,DOWN,True
2025-05-23,194.4983826,199.4188538,2.529826281444862,UP,UP,True
2025-06-18,195.8032074,200.2057495,2.2484524939400994,UP,UP,True
2025-06-27,200.2854309,204.3592529,2.034008156106979,UP,UP,True
2025-07-01,206.9987946,211.6005402,2.2230784526510545,UP,UP,True
2025-07-31,206.7497864,201.580307,-2.500355376425192,DOWN,DOWN,True
2025-08-05,202.1181488,212.4073486,5.090685750432722,UP,UP,True
2025-08-06,212.4073486,219.1605377,3.1793575620198604,UP,UP,True
2025-08-07,219.1605377,228.4437256,4.235793540855144,UP,UP,True
2025-09-02,229.0719299,237.7972565,3.8089898678589766,UP,UP,True
2025-09-09,233.6888885,226.1501923,-3.2259540658476813,DOWN,DOWN,True
2025-09-18,237.2089233,244.8074188,3.203292437017686,UP,UP,True
2025-09-19,244.8074188,255.3575592,4.309567271986613,UP,UP,True
2025-10-09,253.3233032,244.578064,-3.4522047871354244,DOWN,DOWN,True
2025-10-17,251.5782471,261.5001831,3.9438767518147704,UP,UP,True
2025-10-24,262.0785522,268.0516357,2.279119542541501,UP,UP,True
2025-11-10,268.9303284,274.739563,2.1601262433143886,UP,UP,True
