cd C:\mlc\ml\mllll\ML_mini_project\projectPrice,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
9/17/2024,215.1769714,215.2861536,212.9040168,214.1447162,45519300
9/18/2024,219.0479431,221.0529174,215.9213718,215.9313071,59894900
9/19/2024,227.167099,228.1100427,222.9586562,223.3159782,66781300
9/20/2024,226.5020599,231.355675,225.9263736,228.2588944,318679900
9/23/2024,224.7849426,227.7427656,224.1298497,225.6484645,54146000
9/24/2024,225.6782532,227.6435319,224.0504562,226.9487281,43556100
9/25/2024,224.6856995,225.5988524,222.3531936,223.2564113,42308700
9/26/2024,225.8271484,226.7998525,223.7328472,225.6087841,36636700
9/27/2024,226.0951233,227.8122621,225.6087788,226.7601515,34026000
9/30/2024,231.2663574,231.2663574,227.9412771,228.3283747,54541900
10/1/2024,224.5268707,227.9412624,222.0752478,227.81224,63285000
10/2/2024,225.0926361,225.6782426,221.3606179,224.2092588,32880600
10/3/2024,223.9908905,225.1224077,221.6583849,223.4648352,34044200
10/4/2024,225.1124878,226.3035561,222.4623559,226.2042941,37245100
10/7/2024,220.0405121,224.01075,219.6831901,222.8296018,39505400
10/8/2024,224.0901642,224.2985932,221.58891,222.6311005,31855700
10/9/2024,227.8321075,228.0405517,223.1571606,223.5541784,33591100
10/10/2024,227.3358154,227.7923995,225.4797341,226.0851959,28183500
10/11/2024,225.8569183,227.7030796,225.6484742,227.5938975,31759200
10/14/2024,229.5790253,230.0058186,226.8991175,226.9983644,39882100
10/15/2024,232.1100311,235.7229469,230.6410323,231.8718114,64751400
10/16/2024,230.0554199,230.3928865,228.1298522,229.8767665,34082200
10/17/2024,230.4226837,232.110047,228.804822,231.6931587,32993800
10/18/2024,233.2514954,234.4227084,232.2688559,234.4227084,46431500
10/21/2024,234.720459,235.0877163,232.7055645,232.7055645,36254500
10/22/2024,234.1051025,234.4624246,230.8693638,232.149759,38846600
10/23/2024,229.0430145,233.3904298,226.0653362,232.3383192,52287000
10/24/2024,228.8544464,229.1025863,226.7105143,228.2688248,31109500
10/25/2024,229.6882019,231.4847322,227.861896,228.0306293,38802300
10/28/2024,231.6634064,232.9835125,230.8197398,231.5840149,36087100
10/29/2024,231.9313812,232.5864741,230.591435,231.3656302,35417200
10/30/2024,228.3879547,231.7328755,227.8420439,230.8792737,47070900
10/31/2024,224.229126,228.1199575,223.6931354,227.6335979,64370100
11/1/2024,221.2514496,223.6732973,218.631093,219.3258817,65276700
11/4/2024,220.3581085,221.1323036,218.075234,219.3457088,44944500
11/5/2024,221.7874146,222.2836943,219.4946046,220.1496975,28111300
11/6/2024,221.0628357,224.3879158,219.544221,220.9536536,54561100
11/7/2024,225.7874298,226.1844627,222.8990932,222.9586443,42137700
11/8/2024,225.5191498,227.2083543,224.9726384,225.7278081,38328800
11/11/2024,222.8064728,224.2671417,220.0938084,223.5715887,42005600
11/12/2024,222.8064728,224.1578394,221.9420008,223.1244485,40398300
11/13/2024,223.6908417,225.2111274,221.3458233,222.5878878,48566200
11/14/2024,226.7711639,227.4170314,223.5716047,223.5914819,44923900
11/15/2024,223.571579,225.479388,222.8462177,224.962685,47923700
11/18/2024,226.5724182,228.2815,223.7405054,223.8199993,44633700
11/19/2024,226.8307648,228.6988345,225.2210542,225.5390148,36211800
11/20/2024,227.5461731,228.4702616,224.4559166,226.6121383,35169600
11/21/2024,227.0692444,228.6988322,224.2770861,227.4269595,42108300
11/22/2024,228.410675,229.2552849,226.6121682,226.6121682,38168300
11/25/2024,231.3916168,231.7692092,228.281498,229.9905797,90152800
11/26/2024,233.5677185,234.0744905,231.8487057,231.8487057,45986200
11/27/2024,233.4385681,234.1937531,232.3256832,232.9814969,33498400
11/29/2024,235.8233337,236.3002823,232.4846638,233.3193275,28481400
12/2/2024,238.0689545,239.2613332,235.6543886,235.7636909,48137100
12/3/2024,241.1095123,241.2188146,237.3833195,238.2875459,38861000
12/4/2024,241.4672546,242.5602774,239.7184334,241.328144,44383900
12/5/2024,241.4970551,242.9875323,240.5928437,242.4410361,40033900
12/6/2024,241.2983246,243.0769692,240.5431549,241.3678875,36870600
12/9/2024,245.1835175,245.6704122,240.2152598,240.2947537,44649200
12/10/2024,246.1970215,246.6342305,243.7824406,245.3226034,36914800
12/11/2024,244.9251404,249.2077755,244.6965896,246.3858092,45205800
12/12/2024,246.3858185,247.1608654,244.1202792,245.3226042,32777500
12/13/2024,246.5547638,247.7073881,244.676763,246.2467342,33155300
12/16/2024,249.4462738,249.7841268,246.0777957,246.4156488,51694800
12/17/2024,251.8707886,252.2185727,248.1942809,248.4923794,51356400
